date,usd_jpy,source,series,retrieved
2026-01-05,156.83,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-01-12,157.73,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-01-19,157.93,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-01-26,154.21,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-02-02,155.06,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-02-09,156.19,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-02-16,153.34,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-02-23,154.82,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-03-02,157.45,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-03-09,158.50,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-03-16,159.14,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-03-23,158.55,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-03-30,159.46,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-04-07,159.84,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-04-13,159.83,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-04-20,158.91,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-04-27,159.21,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-05-04,157.12,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-05-11,157.14,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-05-18,158.77,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-05-25,158.93,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-06-01,159.49,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-06-08,159.97,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-06-15,160.19,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-06-22,161.78,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-06-29,161.86,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-07-06,162.34,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-07-13,162.14,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-07-20,162.38,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-07-27,163.64,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-08-03,156.68,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-08-10,158.64,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-08-17,159.23,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-08-24,159.12,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-08-31,159.73,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
2026-09-07,154.75,European Central Bank reference rates,EUR/JPY div EUR/USD,2026-09-13
